frame,frame_timestamp,ray_timestamp,ray_index,ray_id,x,y,z,intensity,distance,hit
5,0.500123,0.500123,9,9,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,12,12,7.444180,-0.064964,-0.325032,0.013396,7.451556,1
5,0.500123,0.500123,13,13,12.721500,-0.111019,-0.333136,0.007844,12.726346,1
5,0.500123,0.500123,14,14,43.606800,-0.380551,-0.380565,0.002289,43.610119,1
5,0.500123,0.500123,15,15,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,17,17,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,18,18,7.444170,0.064964,-0.325032,0.013396,7.451546,1
5,0.500123,0.500123,19,19,12.721500,0.111019,-0.333136,0.007844,12.726346,1
5,0.500123,0.500123,20,20,43.606800,0.380551,-0.380565,0.002289,43.610119,1
5,0.500123,0.500123,21,21,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,22,22,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,23,23,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,24,24,7.441830,0.194871,-0.325028,0.013396,7.451473,1
5,0.500123,0.500123,25,25,12.717400,0.333016,-0.333130,0.007844,12.726120,1
5,0.500123,0.500123,26,26,43.590698,1.141460,-0.380541,0.002289,43.607300,1
5,0.500123,0.500123,27,27,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,28,28,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,29,29,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,30,30,7.437120,0.324712,-0.325021,0.013397,7.451297,1
5,0.500123,0.500123,31,31,12.709100,0.554892,-0.333117,0.007844,12.725568,1
5,0.500123,0.500123,32,32,42.863998,1.871480,-0.374425,0.002289,42.906467,1
5,0.500123,0.500123,33,33,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,34,34,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,0.500123,0.500123,35,35,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,0,0,7.606170,-0.332092,-0.332409,0.013169,7.620670,1
6,0.609668,0.609668,1,1,13.159000,-0.574535,-0.344909,0.007617,13.176052,1
6,0.609668,0.609668,2,2,48.625198,-2.123020,-0.424750,0.002062,48.673378,1
6,0.609668,0.609668,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,6,6,7.611060,-0.199303,-0.332420,0.013169,7.620923,1
6,0.609668,0.609668,7,7,13.167800,-0.344811,-0.344929,0.007616,13.176829,1
6,0.609668,0.609668,8,8,48.665100,-1.274340,-0.424839,0.002061,48.683636,1
6,0.609668,0.609668,9,9,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,12,12,7.613500,-0.066442,-0.332425,0.013169,7.621044,1
6,0.609668,0.609668,13,13,13.172200,-0.114952,-0.344939,0.007616,13.177217,1
6,0.609668,0.609668,14,14,48.685101,-0.424868,-0.424884,0.002061,48.688805,1
6,0.609668,0.609668,15,15,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,17,17,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,18,18,7.613500,0.066442,-0.332425,0.013169,7.621044,1
6,0.609668,0.609668,19,19,13.172200,0.114952,-0.344939,0.007616,13.177217,1
6,0.609668,0.609668,20,20,48.685101,0.424868,-0.424884,0.002061,48.688805,1
6,0.609668,0.609668,21,21,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,22,22,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,23,23,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,24,24,7.611060,0.199302,-0.332420,0.013169,7.620923,1
6,0.609668,0.609668,25,25,13.167800,0.344811,-0.344929,0.007616,13.176829,1
6,0.609668,0.609668,26,26,48.665100,1.274340,-0.424839,0.002061,48.683636,1
6,0.609668,0.609668,27,27,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,28,28,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,29,29,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,30,30,7.606170,0.332092,-0.332409,0.013169,7.620670,1
6,0.609668,0.609668,31,31,13.159000,0.574535,-0.344909,0.007617,13.176052,1
6,0.609668,0.609668,32,32,48.625099,2.123020,-0.424749,0.002062,48.673279,1
6,0.609668,0.609668,33,33,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,34,34,0.000000,0.000000,0.000000,0.000000,0.000000,0
6,0.609668,0.609668,35,35,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,0,0,7.766730,-0.339103,-0.339426,0.012961,7.781536,1
7,0.700342,0.700342,1,1,13.596200,-0.593621,-0.356367,0.007409,13.613818,1
7,0.700342,0.700342,2,2,54.357800,-2.373310,-0.474826,0.001854,54.411655,1
7,0.700342,0.700342,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,6,6,7.771810,-0.203512,-0.339441,0.012961,7.781881,1
7,0.700342,0.700342,7,7,13.605500,-0.356272,-0.356394,0.007408,13.614829,1
7,0.700342,0.700342,8,8,54.407501,-1.424710,-0.474970,0.001853,54.428226,1
7,0.700342,0.700342,9,9,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,12,12,7.774340,-0.067846,-0.339448,0.012960,7.782043,1
7,0.700342,0.700342,13,13,13.610100,-0.118774,-0.356408,0.007408,13.615284,1
7,0.700342,0.700342,14,14,54.432301,-0.475024,-0.475042,0.001853,54.436443,1
7,0.700342,0.700342,15,15,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,17,17,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,18,18,7.774340,0.067846,-0.339448,0.012960,7.782043,1
7,0.700342,0.700342,19,19,13.610100,0.118774,-0.356408,0.007408,13.615284,1
7,0.700342,0.700342,20,20,54.432301,0.475023,-0.475041,0.001853,54.436443,1
7,0.700342,0.700342,21,21,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,22,22,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,23,23,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,24,24,7.771810,0.203512,-0.339441,0.012961,7.781881,1
7,0.700342,0.700342,25,25,13.605500,0.356272,-0.356394,0.007408,13.614829,1
7,0.700342,0.700342,26,26,54.407398,1.424710,-0.474969,0.001853,54.428120,1
7,0.700342,0.700342,27,27,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,28,28,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,29,29,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,30,30,7.766730,0.339103,-0.339426,0.012961,7.781536,1
7,0.700342,0.700342,31,31,13.596100,0.593621,-0.356367,0.007409,13.613718,1
7,0.700342,0.700342,32,32,54.357700,2.373310,-0.474824,0.001854,54.411556,1
7,0.700342,0.700342,33,33,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,34,34,0.000000,0.000000,0.000000,0.000000,0.000000,0
7,0.700342,0.700342,35,35,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,0,0,7.936790,-0.346528,-0.346858,0.012748,7.951920,1
8,0.809861,0.809861,1,1,14.070100,-0.614313,-0.368789,0.007196,14.088332,1
8,0.809861,0.809861,2,2,61.727402,-2.695070,-0.539200,0.001641,61.788563,1
8,0.809861,0.809861,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,6,6,7.942060,-0.207970,-0.346877,0.012748,7.952351,1
8,0.809861,0.809861,7,7,14.080000,-0.368698,-0.368824,0.007195,14.089655,1
8,0.809861,0.809861,8,8,61.791000,-1.618050,-0.539427,0.001640,61.814537,1
8,0.809861,0.809861,9,9,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0
8,0.809861,0.809861,12,12,7.944690,-0.069332,-0.346886,0.012747,7.952562,1
